id,smash_count,pass_count,total_votes,smash_pct
1,444142,1566929,2011071,22.08
2,407143,1544463,1951606,20.86
3,364279,1550985,1915264,19.02
4,361681,1517691,1879372,19.24
5,363022,1496993,1860015,19.52
6,735380,1110881,1846261,39.83
7,382329,1442280,1824609,20.95
8,380474,1431825,1812299,20.99
9,487162,1315824,1802986,27.02
10,268117,1519134,1787251,15.0
11,235687,1540832,1776519,13.27
12,341461,1424789,1766250,19.33
13,208431,1545729,1754160,11.88
14,222671,1522598,1745269,12.76
15,424340,1312589,1736929,24.43
16,217433,1507105,1724538,12.61
17,268488,1446573,1715061,15.65
18,413552,1294138,1707690,24.22
19,210179,1487382,1697561,12.38
20,163762,1526210,1689972,9.69
21,163384,1517874,1681258,9.72
22,188966,1484333,1673299,11.29
23,389363,1275336,1664699,23.39
24,530697,1127156,1657853,32.01
25,543687,1107411,1651098,32.93
26,507138,1137440,1644578,30.84
27,253842,1381501,1635343,15.52
28,280152,1346877,1627029,17.22
29,293903,1323862,1617765,18.17
30,328448,1282189,1610637,20.39
31,661693,942681,1604374,41.24
32,202804,1392854,1595658,12.71
33,205622,1384643,1590265,12.93
34,442424,1142941,1585365,27.91
35,485097,1093257,1578354,30.73
36,590345,982581,1572926,37.53
37,602849,964587,1567436,38.46
38,1050630,511024,1561654,67.28
39,430411,1118545,1548956,27.79
40,422670,1119528,1542198,27.41
41,167087,1367582,1534669,10.89
42,204943,1323174,1528117,13.41
43,220319,1300575,1520894,14.49
44,235089,1279554,1514643,15.52
45,319825,1189436,1509261,21.19
46,125911,1377032,1502943,8.38
47,134058,1363703,1497761,8.95
48,148175,1343934,1492109,9.93
49,148520,1338768,1487288,9.99
50,398781,1083089,1481870,26.91
51,459995,1017977,1477972,31.12
52,313716,1159107,1472823,21.3
53,552677,916185,1468862,37.63
54,241021,1222369,1463390,16.47
55,285451,1172912,1458363,19.57
56,165122,1287766,1452888,11.37
57,218424,1230271,1448695,15.08
58,292409,1151690,1444099,20.25
59,601012,839381,1440393,41.73
60,214204,1220290,1434494,14.93
61,201664,1228337,1430001,14.1
62,258939,1167492,1426431,18.15
63,295241,1126940,1422181,20.76
64,298409,1120498,1418907,21.03
65,395002,1021104,1416106,27.89
66,180779,1231462,1412241,12.8
67,503120,906278,1409398,35.7
68,611531,795396,1406927,43.47
69,517422,884924,1402346,36.9
70,605575,789910,1395485,43.4
71,373357,1021749,1395106,26.76
72,283259,1105864,1389123,20.39
73,390735,994182,1384917,28.21
74,149520,1229975,1379495,10.84
75,139364,1236069,1375433,10.13
76,152960,1218940,1371900,11.15
77,407446,960749,1368195,29.78
78,601215,764402,1365617,44.03
79,275481,1085232,1360713,20.25
80,242727,1114088,1356815,17.89
81,150538,1201855,1352393,11.13
82,169214,1179589,1348803,12.55
83,202200,1142405,1344605,15.04
84,158500,1181772,1340272,11.83
85,194950,1141806,1336756,14.58
86,224165,1108501,1332666,16.82
87,322162,1007202,1329364,24.23
88,257971,1067817,1325788,19.46
89,296013,1027091,1323104,22.37
90,380991,938647,1319638,28.87
91,358229,958286,1316515,27.21
92,202272,1110566,1312838,15.41
93,351993,958044,1310037,26.87
94,429574,878116,1307690,32.85
95,233700,1070702,1304402,17.92
96,164152,1137025,1301177,12.62
97,271377,1027022,1298399,20.9
98,109411,1185716,1295127,8.45
99,115853,1176699,1292552,8.96
100,156480,1131745,1288225,12.15
101,166599,1117923,1284522,12.97
102,151990,1129181,1281171,11.86
103,164880,1113495,1278375,12.9
104,218965,1056515,1275480,17.17
105,334269,938607,1272876,26.26
106,223092,1046831,1269923,17.57
107,383904,883586,1267490,30.29
108,672432,592620,1265052,53.15
109,118375,1141022,1259397,9.4
110,108189,1148049,1256238,8.61
111,169942,1082772,1252714,13.57
112,287903,961797,1249700,23.04
113,398764,847912,1246676,31.99
114,284677,959012,1243689,22.89
115,316709,923833,1240542,25.53
116,263469,973781,1237250,21.29
117,331670,902898,1234568,26.87
118,253725,977899,1231624,20.6
119,157337,1071658,1228995,12.8
120,135554,1090619,1226173,11.06
121,163768,1060112,1223880,13.38
122,256250,965206,1221456,20.98
123,292754,925964,1218718,24.02
124,422449,794116,1216565,34.72
125,183525,1029346,1212871,15.13
126,166951,1043066,1210017,13.8
127,137493,1069713,1207206,11.39
128,210108,994415,1204523,17.44
129,296354,989343,1285697,23.05
130,343377,856774,1200151,28.61
131,565332,632479,1197811,47.2
132,901406,294284,1195690,75.39
133,552082,638621,1190703,46.37
134,839050,347206,1186256,70.73
